"Government expenditure on education (% of GDP)"
"150"," Pakistan","2.5","","2.8","","1.8","","2.3","","2.3","","2.2","","2.1","","2.5","","2.5","","2.6","","2.5","","2.8",""
"60"," Palau","","","","","7.9","","","","","","","","","","","","","","","","","","",""
"119"," Palestine, State of","","","","","","","","","6.7","","5.7","","5.1","","5.3","","","","5.1","","5.7","","",""
"66"," Panama","","","3.9","","4.8","","","","","","3.2","","","","","","","","","","","","",""
"110"," Paraguay","1.1","","","","4.6","","","","3.8","","5.0","","5.0","","","","","","","","","","",""
"89"," Peru","","","","","3.2","","2.8","","2.9","","2.7","","2.9","","3.3","","3.7","","4.0","","3.8","","",""
"113"," Philippines","","","3.0","","3.3","","2.4","","","","","","","","","","","","","","","","",""
"33"," Poland","","","4.3","","5.0","","5.4","","5.1","","4.8","","4.8","","4.9","","4.9","","","","","","",""
"41"," Portugal","3.6","","4.6","","5.2","","5.1","","5.4","","5.1","","4.9","","5.3","","5.1","","","","","","",""
"37"," Qatar","","","","","3.7","","4.0","","4.5","","4.0","","3.5","","4.1","","3.6","","","","","","",""
"52"," Romania","","","","","2.9","","3.5","","3.5","","3.0","","2.9","","","","3.1","","","","","","",""
"49"," Russian Federation","","","","","2.9","","3.8","","","","","","3.8","","","","","","","","","","",""
"158"," Rwanda","","","","","4.1","","","","4.9","","4.7","","4.7","","5.0","","","","","","3.5","","",""
"72"," Saint Kitts and Nevis","","","2.7","","4.8","","3.9","","","","","","","","","","","","2.8","","","","",""
"90"," Saint Lucia","","","","","","","5.1","","3.9","","3.9","","3.6","","4.3","","4.3","","4.4","","5.7","","",""
"99"," Saint Vincent and the Grenadines","","","","","7.9","","6.4","","5.1","","","","","","","","","","","","5.8","","",""
"104"," Samoa","","","","","3.6","","","","","","","","","","","","","","","","4.1","","",""
"n.a"," San Marino","","","","","","","","","2.3","","2.4","","","","","","","","","","","","",""
"143"," Sao Tome and Principe","","","","","","","5.3","","9.7","","","","6.3","","5.9","","3.7","","","","","","",""
"39"," Saudi Arabia","","","5.7","","5.9","","5.4","","","","","","","","","","","","","","","","",""
"164"," Senegal","","","","","3.2","","5.1","","6.5","","6.1","","5.9","","7.2","","7.4","","7.1","","","","",""
"67"," Serbia","","","","","","","","","4.6","","4.5","","4.4","","","","4.2","","4.0","","","","",""
"62"," Seychelles","","","7.7","","","","","","","","3.6","","","","","","","","","","","","",""
"184"," Sierra Leone","","","","","4.9","","2.8","","2.5","","2.7","","2.9","","2.4","","2.7","","","","2.9","","",""
"9"," Singapore","","","","","3.3","","3.2","","3.1","","3.1","","3.1","","2.9","","","","","","","","",""
"38"," Slovakia","","","4.3","","3.9","","3.8","","4.1","","4.0","","3.9","","4.1","","4.2","","4.7","","","","",""
"25"," Slovenia","","","4.9","","","","5.6","","5.6","","5.6","","5.6","","5.4","","5.3","","","","","","",""
"152"," Solomon Islands","","","","","","","","","10.0","","","","","","","","","","","","","","",""
"113"," South Africa","5.1","","","","5.4","","5.1","","5.7","","6.0","","6.4","","6.0","","6.0","","","","5.9","","",""
"187"," South Sudan","","","","","","","","","","","0.8","","","","1.2","","1.7","","1.5","","1.8","","",""
"26"," Spain","3.6","","4.4","","4.2","","4.1","","4.8","","4.9","","4.4","","4.3","","4.3","","","","","","",""
"76"," Sri Lanka","2.4","","3.0","","","","","","1.7","","1.8","","1.5","","1.6","","1.9","","2.2","","3.5","","",""
"167"," Sudan","","","","","1.0","","1.6","","","","","","","","","","","","","","","","",""
"7"," Sweden","5.3","","6.2","","6.8","","6.6","","6.6","","6.5","","7.7","","7.7","","7.7","","","","","","",""
"2"," Switzerland","4.5","","5.1","","4.8","","5.2","","4.9","","5.0","","5.0","","5.0","","5.1","","","","","","",""
"127"," Tajikistan","","","2.1","","2.3","","3.5","","4.0","","3.9","","4.0","","","","","","5.2","","","","",""
"154"," Tanzania (United Republic of)","2.1","","","","","","4.6","","4.6","","","","","","","","3.5","","","","","","",""
"83"," Thailand","","","3.1","","5.3","","3.9","","3.5","","4.8","","4.5","","4.1","","","","","","","","",""
"80"," The former Yugoslav Republic of Macedonia","","","4.5","","","","","","","","","","","","","","","","","","","","",""
"165"," Togo","","","","","4.5","","3.4","","4.4","","4.4","","4.7","","4.7","","4.9","","5.2","","5.0","","",""
"98"," Tonga","","","","","4.9","","","","","","","","","","","","","","","","","","",""
"69"," Trinidad and Tobago","3.7","","3.6","","2.8","","","","","","","","","","","","","","","","","","",""
"95"," Tunisia","5.8","","6.4","","6.2","","6.5","","6.3","","","","6.3","","","","","","6.6","","","","",""
"64"," Turkey","","","2.3","","2.5","","","","","","","","4.4","","4.4","","4.4","","","","","","",""
"108"," Turkmenistan","","","","","","","","","","","","","3.0","","","","","","","","","","",""
"n.a"," Tuvalu","7.6","","","","","","","","","","","","","","","","","","","","","","",""
"162"," Uganda","","","","","2.5","","","","2.4","","3.0","","2.5","","2.2","","2.3","","","","","","",""
"88"," Ukraine","","","","","4.2","","6.1","","","","6.2","","6.7","","6.7","","5.9","","","","","","",""
"14"," United Kingdom","4.1","","4.8","","4.1","","5.0","","5.8","","5.7","","","","5.6","","5.7","","5.6","","","","",""
"13"," United States","","","","","","","","","5.4","","5.2","","5.2","","4.9","","5.0","","","","","","",""
"55"," Uruguay","","","2.5","","2.4","","2.7","","","","4.4","","","","","","","","","","","","",""
"138"," Vanuatu","","","","","7.0","","","","","","","","","","","","4.9","","5.5","","","","",""
"78"," Venezuela (Bolivarian Republic of)","2.5","","","","","","","","","","","","","","","","","","","","","","",""
"116"," Viet Nam","","","","","","","","","5.1","","4.8","","5.5","","5.7","","","","","","","","",""
"178"," Yemen","","","","","9.7","","","","","","","","","","","","","","","","","","",""
"144"," Zambia","","","1.8","","1.8","","1.7","","","","","","","","","","","","","","","","",""
"156"," Zimbabwe","12.5","","","","","","","","1.8","","","","7.3","","7.4","","7.5","","","","","","",""
""
