nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;82.37;"KALIMANTAN TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;-;"KALIMANTAN UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;81.15;"SULAWESI UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;72.77;"SULAWESI TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;75.99;"SULAWESI SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;78.62;"SULAWESI TENGGARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;78.46;GORONTALO
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;69.44;"SULAWESI BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;69.51;MALUKU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;73.57;"MALUKU UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;77.29;"PAPUA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;62.63;PAPUA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;77.24;INDONESIA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;74.24;ACEH
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;72.59;"SUMATERA UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;72.43;"SUMATERA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;77.53;RIAU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;76.77;JAMBI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;77.72;"SUMATERA SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;79.62;BENGKULU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;80.04;LAMPUNG
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;75.95;"KEP. BANGKA BELITUNG"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;80.66;"KEP. RIAU"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;80.47;"DKI JAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;78.82;"JAWA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2010;Tahun;80.84;"JAWA TENGAH"
